N	3gram	Ircho_Kome_1	VeschiIm
1	и т д	4	20
2	бы то ни	2	9
3	то ни было	2	9
4	не что иное	1	8
5	что иное как	1	8
6	т е в	2	7
7	в том что	9	6
8	на то что	2	6
9	в чем же	1	5
10	тем не менее	1	5
11	не только в	1	4
12	в то же	4	4
13	то же время	4	4
14	подобно тому как	1	3
15	сам по себе	1	3
16	можно было бы	1	3
17	более или менее	1	3
18	вместе с тем	1	3
19	и не только	1	3
20	в отрыве от	1	3
21	можно говорить о	1	2
22	так или иначе	1	2
23	и даже не	1	2
24	к тому что	1	2
25	этой точки зрения	1	2
26	в данном случае	1	2
27	и таким образом	2	2
28	с этой точки	1	2
29	о том что	3	1
30	одному и тому	1	1
31	так же как	1	1
32	на то чтобы	1	1
33	в самом начале	1	1
34	только в виде	1	1
35	с одной стороны	3	1
36	на него если	1	1
37	одной из самых	1	1
38	смысле этого слова	1	1
39	или хотя бы	1	1
40	зрения в истории	1	1
41	в и в	1	1
42	но и она	1	1
43	именно потому что	2	1
44	о которых идет	1	1
45	и один из	1	1
46	к одному и	1	1
47	в конце концов	4	1
48	с другой стороны	5	1
49	потому что они	1	1
50	до сих пор	2	1
51	вопрос о взаимоотношении	1	1
52	в той же	1	1
53	и прежде всего	1	1
54	что он не	1	1
55	при всем том	1	1
56	и тому же	1	1
57	в то время	5	1
58	по тем же	1	1
59	не мог бы	1	1
60	в себя самые	1	1
61	речь идет о	3	1
62	т д все	1	1
63	в применении к	1	1
64	ничего не известно	1	1
65	в более подробном	1	1
66	в зависимости от	1	1
67	оно все же	1	1
68	которых идет речь	1	1
69	то время как	4	1
70	для того чтобы	1	1
71	том что он	4	1
72	да и эта	1	1
73	в отношении к	1	1
74	во всяком случае	2	1
