N	3gram	Tiupa_Teor_1	Istorich
1	в этих случаях	1	10
2	с другой стороны	5	8
3	о том что	1	5
4	с одной стороны	2	4
5	так же как	1	4
6	в том что	8	4
7	на первый взгляд	1	4
8	мы имеем в	3	4
9	тем не менее	3	4
10	дело не в	1	3
11	в данном случае	5	3
12	не может быть	4	3
13	а в том	1	2
14	на свое место	1	2
15	в одной из	1	2
16	точно так же	1	2
17	здесь мы имеем	1	2
18	и здесь мы	1	2
19	как и в	2	2
20	в то время	1	2
21	это происходит в	1	2
22	в том-то и	1	2
23	как это происходит	1	2
24	в таких случаях	1	1
25	тогда как в	2	1
26	по отношению к	4	1
27	в большинстве случаев	1	1
28	не в качестве	1	1
29	бы то ни	1	1
30	в самом начале	2	1
31	перед тем как	1	1
32	в иных случаях	1	1
33	может быть названо	2	1
34	он мог бы	1	1
35	этих случаях оказывается	1	1
36	таким образом и	1	1
37	имеем дело с	1	1
38	то ни было	1	1
39	может быть это	1	1
40	и потому что	1	1
41	к тому что	2	1
42	в чем собственно	1	1
43	никак не может	1	1
44	и тычет в	1	1
45	имеются и в	1	1
46	состоит в том	5	1
47	но он не	1	1
48	более или менее	2	1
49	данном случае это	1	1
50	если бы для	1	1
51	на вопрос о	1	1
52	в связи с	1	1
53	таким образом что	1	1
54	сама по себе	1	1
55	с точки зрения	3	1
56	только в условиях	1	1
57	ту или иную	1	1
58	также своего рода	1	1
59	обращает на себя	1	1
60	то же самое	1	1
61	а не с	1	1
