N	4gram	Losev_Prob_4	formyVre
1	в том числе и	1	2
2	и в то же	1	2
3	мы имеем в виду	1	2
4	то же самое мы	1	1
5	в том что они	1	1
6	в той или иной	7	1
7	мы вовсе не имеем	1	1
8	и вместе с тем	1	1
9	вовсе не имеем в	1	1
10	не только в том	2	1
11	то есть не в	1	1
12	нечего и говорить о	1	1
13	или что то же	1	1
14	с этой точки зрения	1	1
15	не имеем в виду	1	1
16	ни в чем не	1	1
17	действительности и прежде всего	1	1
18	только в том что	2	1
19	не выходит за пределы	1	1
20	для того чтобы не	1	1
21	в то время как	2	1
