N	3gram	Nazirov_Tr_1	Literetu
1	в то же	5	9
2	то же время	5	9
3	не может быть	1	7
4	в том что	2	5
5	в данном случае	2	3
6	о том что	2	2
7	в разговоре с	1	2
8	еще в году	1	2
9	и т п	1	2
10	в этом случае	1	2
11	за то что	1	2
12	тем не менее	1	2
13	в одном из	1	1
14	не только не	1	1
15	в конце концов	1	1
16	у него нет	1	1
17	что в ней	1	1
18	же время он	1	1
19	после того как	1	1
20	по нашему мнению	1	1
21	к тому что	1	1
22	в стихах и	1	1
23	и не может	1	1
24	что он не	1	1
25	и то что	1	1
26	в отличие от	2	1
27	не могут быть	1	1
28	от всего что	1	1
