N	4gram	Losev_Dial_2	Problema
1	д и т д	2	4
2	взятые сами по себе	1	4
3	и т д и	2	4
4	или по крайней мере	2	4
5	не что иное как	3	4
6	на самом же деле	1	4
7	т д и т	2	4
8	в то время как	3	4
9	есть не что иное	2	4
10	одно и то же	4	3
11	в том смысле что	3	3
12	ни в каком случае	2	2
13	то это значит что	1	2
14	заключается в том что	1	2
15	потому что он есть	1	1
16	по крайней мере не	1	1
17	мы находим например у	1	1
18	и говорить о том	1	1
19	тут не может быть	1	1
20	тем не менее в	1	1
21	и т д в	1	1
22	если принять во внимание	2	1
23	по одному тому что	1	1
24	если мы говорим о	1	1
25	не содержащий в себе	1	1
26	по крайней мере в	2	1
27	то это вовсе не	1	1
28	дело вовсе не в	1	1
29	в каком случае не	1	1
30	до сих пор мы	1	1
31	миф не есть ни	1	1
32	во что бы то	1	1
33	т д все это	1	1
34	но это не значит	1	1
35	вовсе не значит что	1	1
36	то же и в	1	1
37	и может быть даже	1	1
38	бы то ни стало	1	1
39	мы начинаем говорить о	1	1
40	в том что он	1	1
41	что бы то ни	1	1
42	и то и другое	1	1
43	же в таком случае	1	1
44	говорить о том что	1	1
45	так же как и	1	1
46	уже сама по себе	1	1
47	это не значит что	2	1
48	ни с чем не	1	1
49	нечего и говорить о	1	1
50	и т д все	1	1
51	это вовсе не значит	1	1
