N	4gram	Vinokur_Ku_2	Myslijsy
1	только в том что	1	4
2	в то же время	3	3
3	одной и той же	1	3
4	в одном и том	1	2
5	все более и более	1	2
6	но с другой стороны	1	2
7	уже с самого начала	1	2
8	одном и том же	1	2
9	дело в том что	1	2
10	не что иное как	1	2
11	уже о том что	1	1
12	заключается в том что	1	1
13	и т д не	1	1
14	в том только смысле	1	1
15	и с этой точки	1	1
16	с этой точки зрения	2	1
17	не говоря уже о	2	1
18	точно так же как	2	1
19	и т д в	1	1
20	говоря уже о том	1	1
21	можно было бы сказать	1	1
22	не только потому что	2	1
23	и в том и	1	1
24	не только в том	1	1
25	бы то ни было	1	1
26	и в том что	1	1
27	и т п и	2	1
