N	3gram	Kanaev_Sov_1	Istorich
1	с одной стороны	1	7
2	в этом случае	1	7
3	мы знаем что	1	4
4	в связи с	1	4
5	но все же	1	4
6	мы видим что	1	4
7	тем не менее	2	4
8	так же как	1	3
9	на этой стадии	1	3
10	не может быть	4	3
11	друг с другом	2	2
12	мы не знаем	1	2
13	мы видели что	3	2
14	это значит что	1	2
15	в том что	1	2
16	по отношению к	1	2
17	знаем что это	1	2
18	в данном случае	1	2
19	до сих пор	1	2
20	может быть в	1	1
21	но мы знаем	1	1
22	на самом деле	1	1
23	в то же	1	1
24	не в виде	1	1
25	в одном случае	1	1
26	для наших целей	1	1
27	ведь это не	1	1
28	с самого начала	3	1
29	но уже в	1	1
30	но это уже	1	1
31	ясно что все	1	1
32	состоит из двух	1	1
33	не дает нам	1	1
34	совершенно так же	1	1
35	уже в ином	1	1
36	каждого из них	2	1
37	а потом и	1	1
38	в процессе развития	1	1
39	одной стороны и	1	1
40	в самом деле	1	1
41	то же время	1	1
42	в зависимости от	4	1
43	прежде всего мы	1	1
44	на другой день	1	1
45	с точки зрения	5	1
46	но тем не	1	1
47	мы уже знаем	1	1
48	в отличие от	2	1
49	мы это увидим	1	1
50	не в том	1	1
51	в дословном переводе	1	1
52	во всяком случае	2	1
53	в свою очередь	2	1
54	уже знаем что	1	1
