N	3gram	Savitsky_P_1	Problemy
1	в то же	7	10
2	то же время	7	10
3	в отношении к	5	7
4	друг с другом	1	4
5	но в то	1	4
6	во всяком случае	1	4
7	в творчестве достоевского	1	4
8	с другой стороны	1	3
9	в этом смысле	1	3
10	не может быть	1	3
11	в большинстве случаев	1	2
12	там где он	1	2
13	и в этом	1	2
14	именно потому что	1	2
15	в том что	4	2
16	и не может	1	2
17	в отличие от	1	2
18	но в общем	1	2
19	с точки зрения	3	2
20	и в то	2	2
21	что дело идет	1	1
22	или хотя бы	1	1
23	в противоречии с	1	1
24	для того чтобы	1	1
25	за то что	1	1
26	но в этом	1	1
27	и то что	1	1
28	заключает в себе	2	1
29	вместе с тем	1	1
30	в тот же	2	1
31	и пр в	1	1
