N	3gram	Tiupa_Anal_1	EvropaiC
1	в том что	9	16
2	до сих пор	1	12
3	по отношению к	5	10
4	друг с другом	1	9
5	с точки зрения	4	8
6	более или менее	1	7
7	для того чтобы	3	6
8	в самом деле	2	5
9	лишь в том	3	5
10	о том что	3	4
11	в том случае	1	4
12	с другой стороны	2	4
13	к тому же	4	4
14	том случае если	1	4
15	начало и конец	1	4
16	не может быть	16	4
17	в том же	1	3
18	и того же	2	3
19	одного и того	2	3
20	в связи с	1	3
21	все же не	1	3
22	в данном случае	2	3
23	в том виде	1	2
24	не в состоянии	1	2
25	в то же	8	2
26	бы то ни	3	2
27	с одной стороны	3	2
28	того чтобы быть	1	2
29	как и в	1	2
30	то ни было	3	2
31	а с другой	1	2
32	что же касается	1	2
33	то же время	6	2
34	вместе с тем	1	2
35	в том и	2	2
36	в нашем случае	3	2
37	во всяком случае	1	2
38	в свою очередь	1	2
39	том что он	2	2
40	на точку зрения	1	1
41	в данный момент	1	1
42	между тем в	1	1
43	сознательно или бессознательно	1	1
44	не свидетельствует о	1	1
45	между тем как	1	1
46	одной и той	1	1
47	в том числе	3	1
48	относиться как к	1	1
49	до тех пор	1	1
50	того что в	2	1
51	перед нами два	1	1
52	состоит лишь в	1	1
53	из того что	3	1
54	два различных аспекта	1	1
55	не в том	3	1
56	их именно в	1	1
57	есть не более	1	1
58	тогда когда оно	1	1
59	и т.д в	1	1
60	друг у друга	1	1
61	в этом последнем	1	1
62	к тому что	1	1
63	то же самое	2	1
64	и не может	4	1
65	и то же	1	1
66	состоит в том	3	1
67	мысль о том	1	1
68	в том или	2	1
69	том виде в	1	1
70	или лучше сказать	1	1
71	этот факт не	1	1
72	оно может только	1	1
73	в результате которой	1	1
74	и той же	1	1
75	в широком смысле	2	1
76	двумя крайними пределами	1	1
77	даже если он	1	1
78	он при этом	1	1
79	более высокой ступени	1	1
80	хотя бы с	1	1
81	смысле этого слова	1	1
82	в то что	1	1
83	в зависимости от	1	1
84	нет и не	2	1
85	только в том	1	1
86	только тогда когда	1	1
87	в равной мере	1	1
88	и на тех	1	1
89	том числе и	1	1
90	не говоря уже	1	1
91	и все же	2	1
92	тогда как сам	1	1
93	аспекта одного и	1	1
94	и таким образом	1	1
95	а не в	3	1
96	различных аспекта одного	1	1
97	я не могу	1	1
98	на первый взгляд	1	1
99	говоря уже о	1	1
100	одно и то	1	1
101	том или ином	3	1
102	по крайней мере	1	1
