N	4gram	Bakhtin_Pr_5	formyVre
1	в то же время	10	4
2	и в то же	2	2
3	на протяжении всего романа	2	2
4	одна и та же	2	2
5	одно и то же	3	1
6	в конце концов он	1	1
7	до сих пор еще	1	1
8	в той или иной	4	1
9	и вместе с тем	1	1
10	той или иной форме	2	1
11	бы он ни был	1	1
12	из уст в уста	1	1
13	все более и более	1	1
14	но в конце концов	1	1
15	мы уже говорили что	3	1
16	как мы уже говорили	2	1
17	к себе самому к	1	1
18	все больше и больше	1	1
19	на более глубокой и	1	1
20	одного и того же	1	1
21	отношение к себе самому	1	1
22	ни в чем не	1	1
23	к себе самому и	4	1
24	в том что он	1	1
25	но в то же	4	1
26	в то время как	1	1
27	уст в уста в	1	1
28	что на самом деле	1	1
