N	2gram	Medvedev_I_1	FransuaR
1	и в	1	49
2	в этом	2	15
3	и не	2	15
4	в них	1	13
5	и др	1	9
6	для него	1	9
7	все это	1	9
8	все эти	1	7
9	жизни и	1	7
10	и с	3	6
11	так и	1	6
12	в эту	1	5
13	никогда не	1	5
14	а в	1	4
15	и о	1	4
16	тем что	1	4
17	с другой	1	4
18	страхом перед	1	4
19	в значительной	1	3
20	и со	1	3
21	видит в	1	3
22	не дает	1	3
23	что для	1	3
24	другой стороны	1	3
25	тех же	1	2
26	в первую	1	2
27	и без	1	2
28	в художественном	1	2
29	со всеми	1	2
30	что в	2	2
31	вплоть до	1	2
32	того чтобы	1	2
33	автора и	1	2
34	и еще	1	2
35	ничего не	2	2
36	по поводу	1	2
37	по существу	1	2
38	это был	1	2
39	первую очередь	1	1
40	бы в	1	1
41	стороны он	1	1
42	того же	1	1
43	от этого	1	1
44	после смерти	1	1
45	и тот	1	1
46	бы что	2	1
47	аналогии и	1	1
48	художественного творчества	1	1
49	цель и	1	1
50	к нам	1	1
51	того что	1	1
52	было не	1	1
53	художественном творчестве	1	1
54	по отношению	1	1
55	и сам	1	1
56	слишком много	1	1
57	в целом	1	1
58	он с	1	1
59	для того	1	1
60	если бы	1	1
61	и та	1	1
62	а по	1	1
63	он не	2	1
64	что последний	1	1
65	отношению к	1	1
66	я не	1	1
67	должен быть	2	1
68	во многом	1	1
69	значительной мере	1	1
70	как о	1	1
71	есть только	1	1
72	то она	1	1
