1	и в	1	39
2	что в	2	22
3	и не	2	18
4	в этом	2	15
5	если бы	1	14
6	отношению к	1	13
7	так и	1	13
8	по отношению	1	13
9	есть только	1	11
10	тем что	1	9
11	того что	1	8
12	то и	1	7
13	с другой	1	7
14	от нее	1	6
15	что при	1	5
16	а в	1	5
17	другой стороны	1	5
18	для него	1	4
19	никогда не	1	4
20	бы в	1	4
21	самого себя	2	4
22	могло бы	1	3
23	он не	2	3
24	по поводу	1	3
25	только для	1	3
26	того же	1	3
27	не так	1	3
28	в них	1	3
29	и без	1	3
30	что для	1	3
31	для того	1	3
32	и с	3	3
33	очевидно что	1	3
34	них не	1	2
35	того чтобы	1	2
36	и о	1	2
37	жизни и	1	2
38	только что	1	2
39	нисколько не	1	2
40	то она	1	2
41	с а	1	2
42	стало быть	1	2
43	утверждает что	1	2
44	в целом	1	2
45	бы искать	1	1
46	не чужд	1	1
47	от этого	1	1
48	произведения и	1	1
49	без этого	1	1
50	все эти	1	1
51	творчества то	1	1
52	понятий и	1	1
53	многое другое	1	1
54	все это	1	1
55	человеке и	1	1
56	ничего не	2	1
57	это было	1	1
58	себя в	1	1
59	следующим образом	1	1
60	видит в	1	1
61	ничего в	1	1
62	и многое	1	1
63	стороны он	1	1
64	в эту	1	1
65	должен быть	2	1
66	на памяти	1	1
67	как только	1	1
68	к нам	1	1
69	доказать что	1	1
70	более чем	1	1
71	для других	1	1
