N	4gram	Bakhtin_Fr_1	Myshleni
1	в том числе и	7	3
2	как мы уже говорили	2	3
3	уже говорили выше в	1	1
4	в той или иной	5	1
5	сводится к тому чтобы	1	1
6	формы речевого общения между	1	1
7	в связи с развитием	1	1
8	и вовсе не в	1	1
9	мы уже говорили выше	1	1
10	все более и более	1	1
11	и в некоторых других	1	1
12	мы имеем в виду	1	1
13	с точки зрения этих	1	1
14	без преувеличения сказать что	1	1
15	в полном отрыве от	1	1
16	что с точки зрения	1	1
17	на самом же деле	3	1
18	в том что он	1	1
19	дело в том что	2	1
20	можно без преувеличения сказать	1	1
