N	4gram	Propp_Isto_1	KulturaY
1	в том случае когда	1	3
2	и тем не менее	2	3
3	не говоря уже о	1	2
4	здесь можно было бы	1	2
5	один и тот же	2	2
6	уже о том что	1	1
7	речь идет именно о	1	1
8	это отнюдь не означает	1	1
9	то мы увидим что	1	1
10	то же самое что	2	1
11	в силу того что	1	1
12	на этот вопрос мы	2	1
13	в том отношении что	1	1
14	т е если бы	1	1
15	но если это так	1	1
16	что речь идет именно	1	1
17	говоря уже о том	1	1
18	в самое последнее время	1	1
19	если это так то	1	1
20	что для того чтобы	1	1
