N	3gram	Tiupa_Lite_2	StatiiOP
1	в том что	5	16
2	о том что	2	11
3	в этом отношении	3	9
4	для того чтобы	1	5
5	к тому что	1	5
6	вместе с тем	1	5
7	что он не	1	4
8	после того как	1	4
9	в одном из	1	3
10	с другой стороны	4	3
11	и т п	2	3
12	речь идет о	3	3
13	том что в	1	2
14	в сочетании с	1	2
15	в отличие от	1	2
16	и в полном	1	2
17	за то что	2	2
18	тем не менее	2	2
19	не только не	1	2
20	с точки зрения	3	2
21	не в том	1	2
22	бы то ни	1	2
23	то ни было	1	2
24	в сущности говоря	1	1
25	говорит о себе	1	1
26	в том числе	2	1
27	стороны тогда как	1	1
28	тем что в	1	1
29	из того же	1	1
30	и сам в	1	1
31	в конце концов	1	1
32	что в ней	1	1
33	имея в виду	1	1
34	имеет ничего общего	1	1
35	я не могу	1	1
36	ничего общего с	1	1
37	в этом случае	2	1
38	и то же	2	1
39	искусства и жизни	1	1
40	на самом деле	1	1
41	по отношению к	3	1
42	он не может	1	1
43	в то же	9	1
44	в году писал	1	1
45	говоря уже о	2	1
46	то же время	9	1
47	как мы видели	1	1
48	в свое время	2	1
49	поскольку речь идет	2	1
50	имел в виду	1	1
51	не говоря уже	2	1
52	но и он	1	1
53	права на существование	1	1
54	которых он писал	1	1
55	что же касается	1	1
56	не имеет ничего	1	1
57	в свою очередь	1	1
58	то что ей	1	1
59	в данном случае	3	1
60	в том чтобы	3	1
61	на два года	1	1
62	одно и то	2	1
