N	2gram	Voloshinov_1	EvropaiC
1	и в	3	24
2	не может	4	18
3	может быть	1	15
4	точки зрения	1	13
5	с точки	1	8
6	если бы	1	8
7	и все	1	8
8	из этих	1	7
9	не менее	1	7
10	к тому	1	7
11	но и	1	7
12	и не	1	7
13	и на	1	6
14	несмотря на	1	6
15	не только	1	5
16	и истории	1	5
17	в то	1	5
18	в его	1	5
19	то же	1	4
20	ни один	1	4
21	связи с	1	4
22	может не	1	3
23	бы в	1	3
24	можно назвать	1	3
25	тех же	1	2
26	в ней	1	2
27	и социальной	1	2
28	на месте	1	2
29	тому что	1	2
30	на нее	1	2
31	же время	1	2
32	для него	1	2
33	и тому	1	2
34	права и	1	1
35	при сравнении	1	1
36	если в	2	1
37	нет и	1	1
38	в центре	2	1
39	он в	1	1
40	в термины	1	1
41	в каждом	1	1
42	с другими	1	1
43	лучше всего	1	1
44	бы на	1	1
45	именно с	1	1
46	вопрос что	1	1
47	социального общения	2	1
48	один из	2	1
49	мы видим	1	1
50	себя от	1	1
51	а не	1	1
52	от общей	1	1
53	вполне понятно	1	1
