N	4gram	Bakhtin_Pr_2	slovoVRo
1	в то же время	3	4
2	в той или иной	2	3
3	но в то же	3	3
4	той или иной степени	2	3
5	и его слово в	1	2
6	уходит своими корнями в	1	2
7	в том числе и	2	1
8	контакта с незавершенной современностью	1	1
9	мы говорили в предшествующей	1	1
10	и не может быть	1	1
11	по себе никогда не	1	1
12	сама по себе никогда	1	1
13	в большинстве случаев в	1	1
14	это не значит конечно	1	1
15	не значит конечно что	1	1
16	то же время и	1	1
17	говорили в предшествующей главе	2	1
18	или иной степени объектны	1	1
19	еще раз подчеркнуть что	1	1
20	необходимо еще раз подчеркнуть	1	1
21	не только в смысле	1	1
