N	4gram	Bakhtin_fo_1	Problemy
1	в то же время	6	12
2	и в то же	4	5
3	себе самому и к	1	4
4	к себе самому и	1	4
5	бы он ни был	1	3
6	самому и к другому	1	3
7	но в то же	1	3
8	на протяжении всего романа	1	2
9	ни в чем не	2	2
10	в той или иной	1	2
11	одно и то же	3	1
12	вполне понятно что в	2	1
13	как мы уже говорили	3	1
14	и прежде всего в	1	1
15	может быть и речи	1	1
16	одних и тех же	2	1
17	все более и более	1	1
18	или во всяком случае	1	1
19	не может быть и	1	1
20	одного и того же	5	1
21	и т п но	1	1
22	той или иной степени	1	1
23	то же время он	1	1
24	с самим собою в	1	1
25	каков бы он ни	1	1
