N	3gram	Propp_Isto_2	KFilosof
1	по отношению к	3	21
2	не может быть	2	11
3	на самом деле	2	3
4	но все эти	1	3
5	к нему в	1	3
6	есть на самом	1	2
7	в том что	5	2
8	ко мне в	1	2
9	во всех этих	2	2
10	тем не менее	1	2
11	мы не можем	1	1
12	и в каких	1	1
13	со мной в	1	1
14	одном случае мы	1	1
15	со всем что	1	1
16	всего этого не	1	1
17	по себе а	1	1
18	в одном случае	2	1
19	особенно часто имеют	1	1
20	смысле этого слова	1	1
21	всех этих случаях	2	1
22	но это не	1	1
23	конечно все это	1	1
24	на то что	2	1
25	в другом случае	1	1
26	дело не в	2	1
27	в себе в	1	1
28	что и она	1	1
29	и в его	1	1
30	не в этом	1	1
31	влечет за собой	1	1
32	до конца и	1	1
33	вместо того чтобы	2	1
34	и есть момент	1	1
35	и может быть	2	1
36	только в этом	1	1
37	в иной мир	4	1
38	здесь дело не	1	1
39	он должен быть	1	1
40	бы быть и	1	1
41	на задний план	1	1
42	и не должен	1	1
43	со всех сторон	4	1
44	в зависимости от	1	1
45	ничего не знаю	1	1
46	она не живет	1	1
47	здесь мы видим	2	1
48	в себя и	1	1
49	и в котором	1	1
50	и в нем	1	1
51	вместе с тем	5	1
52	это может быть	1	1
53	несмотря на то	1	1
54	все это только	1	1
