N	3gram	Nazirov_Vr_1	Literetu
1	в то же	4	9
2	то же время	4	9
3	не может быть	2	7
4	в том что	2	5
5	с другой стороны	1	4
6	едва ли не	1	4
7	речь идет о	1	3
8	в этом отношении	1	3
9	с точки зрения	2	3
10	о том что	1	2
11	по крайней мере	1	2
12	и то же	1	2
13	в е годы	1	2
14	в русской литературе	3	2
15	тем не менее	1	2
16	одно и то	1	2
17	в начале х	1	1
18	в ноябре года	2	1
19	х годов в	1	1
20	говорит о себе	1	1
21	в мире а	1	1
22	не только не	1	1
23	ее и в	1	1
24	в конце концов	1	1
25	и в то	1	1
26	что в ней	1	1
27	а с другой	1	1
28	по нашему мнению	1	1
29	что уже в	1	1
30	и не может	1	1
31	что в начале	2	1
32	и то что	1	1
33	в свою очередь	1	1
34	начале х годов	1	1
35	имел в виду	3	1
36	в соответствии с	1	1
37	не только как	1	1
