N	3gram	Propp_Morf_1	StatiiOP
1	и т д	39	21
2	в том что	3	17
3	о том что	1	11
4	для того чтобы	2	10
5	с точки зрения	2	8
6	до сих пор	1	7
7	в этом отношении	1	7
8	на самом деле	4	6
9	с другой стороны	4	6
10	во всяком случае	2	6
11	в данном случае	1	6
12	не может быть	9	5
13	т д но	4	4
14	на то что	2	4
15	что и в	1	4
16	так например в	1	4
17	но все же	3	3
18	по отношению к	4	3
19	не значит что	2	3
20	что же касается	1	3
21	это не значит	2	3
22	и даже не	1	2
23	с одной стороны	1	2
24	в иных случаях	2	2
25	а также и	3	2
26	как и в	2	2
27	может быть и	2	2
28	дело не в	2	2
29	имеет ничего общего	1	2
30	в этом случае	8	2
31	то что в	2	2
32	но если это	2	2
33	не имеет ничего	1	2
34	тому что в	1	2
35	тем не менее	4	2
36	во втором случае	1	2
37	в то время	3	2
38	не в количестве	2	1
39	во что бы	1	1
40	сих пор не	1	1
41	в таких случаях	2	1
42	но как бы	1	1
43	а не по	1	1
44	вряд ли можно	1	1
45	ясно что и	1	1
46	в том случае	1	1
47	о том как	1	1
48	бы то ни	3	1
49	точно так же	1	1
50	очень давно и	1	1
51	является то что	1	1
52	во многих отношениях	1	1
53	помимо того что	1	1
54	т д в	2	1
55	т д как	3	1
56	бы они ни	1	1
57	могут быть приведены	1	1
58	что бы то	1	1
59	это можно утверждать	1	1
60	приведем один пример	1	1
61	но это не	1	1
62	а вовсе не	1	1
63	мы приходим к	2	1
64	к тому что	3	1
65	в отдельных случаях	3	1
66	то ни стало	1	1
67	и в других	1	1
68	что там где	1	1
69	т е не	1	1
70	могло бы быть	1	1
71	в обоих случаях	2	1
72	во всех случаях	1	1
73	в настоящее время	3	1
74	о котором говорит	1	1
75	они ни были	1	1
76	с того что	2	1
77	говорить о том	1	1
78	уже говорить о	1	1
79	после того как	1	1
80	его и т	1	1
81	можно ли считать	1	1
82	по собственному усмотрению	1	1
83	точки зрения его	1	1
84	далеко не все	3	1
85	того чтобы получить	1	1
86	он приводит в	1	1
87	и таким образом	2	1
88	но то что	1	1
89	то время как	3	1
90	и все с	1	1
91	в какой степени	1	1
92	то что он	1	1
93	как бы они	1	1
94	вполне точно и	1	1
95	а на самом	1	1
96	том что он	1	1
