N	3gram	Voloshinov_1	FransuaR
1	в то же	1	9
2	то же время	1	9
3	для того чтобы	1	6
4	в том что	2	6
5	но в то	1	5
6	в этом отношении	1	5
7	в связи с	1	5
8	так же как	1	4
9	а также и	1	4
10	на самом деле	1	4
11	можно говорить о	1	2
12	в чем же	1	2
13	и здесь и	1	2
14	в другом месте	1	2
15	в отличие от	1	2
16	то же самое	1	2
17	можно было бы	1	2
18	с точки зрения	5	2
19	хотя бы в	1	2
20	нужно сказать что	1	2
21	в данном случае	2	2
22	не может быть	4	2
23	мы не можем	1	1
24	иной характер носит	1	1
25	она ориентируется на	1	1
26	это особенно ясно	1	1
27	его и не	1	1
28	том что в	1	1
29	включает в себя	1	1
30	быть и речи	1	1
31	в одном случае	1	1
32	он и не	1	1
33	как и в	1	1
34	же время в	1	1
35	важное значение имеет	1	1
36	между собою и	1	1
37	может быть и	1	1
38	это конечно не	1	1
39	что иное как	2	1
40	в течение всего	1	1
41	так же точно	1	1
42	и закрепленное в	1	1
43	ничего общего с	2	1
44	в значительной мере	1	1
45	по отношению к	3	1
46	от него не	1	1
47	все то что	1	1
48	не что иное	2	1
49	течение всей своей	1	1
50	в конечном счете	1	1
51	в самом деле	2	1
52	этот момент как	1	1
53	есть не что	2	1
54	то что в	1	1
55	в г в	2	1
56	в особенности в	1	1
57	те же самые	1	1
58	чем же объясняется	1	1
59	существует как бы	1	1
60	тем не менее	1	1
61	что в основе	1	1
62	здесь и там	1	1
63	между тем как	1	1
64	громадную роль играет	1	1
65	вполне понятно что	3	1
66	в течение всей	1	1
