N	3gram	Vinokur_Ku_2	Istorich
1	и т д	14	18
2	мы знаем что	2	10
3	до сих пор	1	6
4	точно так же	3	6
5	в том что	10	5
6	в этом случае	2	5
7	вместе с тем	2	5
8	так же как	2	4
9	что он не	1	4
10	не только в	4	4
11	в связи с	3	4
12	но все же	2	4
13	с одной стороны	1	3
14	можно было бы	9	3
15	о том что	1	2
16	в таких случаях	2	2
17	на самом деле	2	2
18	с самого начала	1	2
19	с другой стороны	7	2
20	дело не в	2	2
21	не может быть	4	2
22	вместо того чтобы	1	2
23	на то что	2	2
24	не что иное	1	2
25	здесь можно было	1	2
26	что иное как	1	2
27	после того как	1	2
28	уже с самого	1	2
29	т д и	1	2
30	потому что он	2	2
31	иметь в виду	1	2
32	к тому же	1	2
33	так или иначе	2	1
34	связи с этим	1	1
35	сам по себе	1	1
36	одной и той	1	1
37	том что в	1	1
38	в силу своей	1	1
39	есть вместе с	2	1
40	и здесь мы	1	1
41	да и то	1	1
42	не сам по	1	1
43	т е в	1	1
44	потому что они	1	1
45	в другом случае	1	1
46	и пр с	1	1
47	влечет за собой	1	1
48	нужно было бы	1	1
49	понимать то что	1	1
50	главным образом в	1	1
51	и прежде всего	1	1
52	и не только	1	1
53	не только у	1	1
54	есть не что	1	1
55	но это не	1	1
56	в отличие от	2	1
57	и той же	1	1
58	об этом можно	1	1
59	т е к	1	1
60	по его мнению	1	1
61	не только нет	1	1
62	что мы имеем	1	1
63	он должен быть	1	1
64	и не должен	1	1
65	смысле этого слова	1	1
66	так как оно	1	1
67	ответ на это	1	1
68	все это только	1	1
69	в виду что	1	1
70	хотя бы на	1	1
71	в зависимости от	4	1
72	т д вот	1	1
73	должен был бы	1	1
74	и в другом	2	1
75	так и более	1	1
76	тем не менее	5	1
77	а самый факт	1	1
78	несмотря на то	2	1
79	не то что	1	1
80	эта сторона дела	1	1
