N	4gram	Bakhtin_Fr_8	VLabPisa
1	в то же время	10	5
2	и в то же	5	3
3	с одной стороны и	1	2
4	в том числе и	2	2
5	большей или меньшей степени	3	2
6	в большей или меньшей	3	2
7	не подлежит сомнению что	1	1
8	в том или ином	1	1
9	не может быть и	1	1
10	если можно так выразиться	1	1
11	но к тому же	1	1
12	но в то же	2	1
13	может быть и речи	1	1
14	в той или иной	1	1
15	и вместе с тем	1	1
16	говорит о том что	1	1
17	не в том что	1	1
18	они не только не	1	1
19	и др таким образом	1	1
20	никогда не может быть	1	1
