N	4gram	Vygotskiy__3	KulturaY
1	и в самом деле	9	3
2	не в том что	1	2
3	один и тот же	1	2
4	ни в какой мере	1	2
5	в какой мере не	1	2
6	и т п то	1	1
7	заключается вовсе не в	1	1
8	только для того чтобы	1	1
9	не ясно ли что	1	1
10	представлять себе дело так	1	1
11	в целом ряде случаев	1	1
12	одной и той же	1	1
13	только в том случае	1	1
14	и вместе с тем	2	1
15	себе дело так будто	1	1
16	с этой точки зрения	1	1
17	в том смысле что	1	1
18	в самом деле в	1	1
19	вовсе не в том	1	1
20	заключается в том что	4	1
