N	4gram	Vinokur_St_1	Myshleni
1	заключается в том что	2	4
2	в то время как	1	4
3	в той мере в	1	3
4	той мере в какой	1	2
5	на вопрос о том	1	2
6	в том что в	2	2
7	ответ на этот вопрос	1	2
8	в том что он	1	2
9	в том числе и	2	1
10	вообще не существует все	1	1
11	но и это не	1	1
12	вопрос о том что	1	1
13	в том смысле что	1	1
14	в прямом смысле этого	1	1
15	надо сказать что в	1	1
16	в той же мере	1	1
17	и по отношению к	1	1
18	само собой разумеется что	1	1
19	только в том что	1	1
20	так же как и	1	1
21	дело только в том	1	1
