N	3gram	Tiupa_Hudo_2	EvropaiC
1	в том что	11	16
2	до сих пор	2	12
3	по отношению к	7	10
4	с точки зрения	2	8
5	мы знаем что	1	7
6	а между тем	3	7
7	друг от друга	1	6
8	для того чтобы	3	6
9	в самом деле	3	5
10	лишь в том	1	5
11	о том что	7	4
12	в том случае	1	4
13	с другой стороны	1	4
14	к тому же	2	4
15	том случае если	1	4
16	в этом случае	1	4
17	тем не менее	3	4
18	не может быть	3	4
19	заключается в том	1	3
20	так или иначе	1	3
21	так же как	2	3
22	приобщение к чужой	1	3
23	в настоящее время	1	3
24	и то что	1	3
25	никогда не будет	1	3
26	все же не	1	3
27	в данном случае	2	3
28	при этом что	1	2
29	не в состоянии	1	2
30	в то же	4	2
31	бы то ни	1	2
32	с одной стороны	3	2
33	случае если бы	1	2
34	именно потому что	1	2
35	как и в	3	2
36	и в том	1	2
37	и все что	1	2
38	а с другой	1	2
39	что несмотря на	1	2
40	но все же	1	2
41	двух или нескольких	1	2
42	то же время	4	2
43	о том чтобы	1	2
44	в этом и	2	1
45	а в том	1	1
46	с самого начала	1	1
47	между тем в	1	1
48	что все они	2	1
49	между тем как	1	1
50	приводит к тому	1	1
51	в том числе	1	1
52	точно так же	1	1
53	культуры при этом	1	1
54	не только не	2	1
55	все та же	1	1
56	чтобы ответить на	1	1
57	как мы знаем	1	1
58	уже одно это	2	1
59	дело в том	1	1
60	будем признать что	1	1
61	к тому что	4	1
62	но с другой	1	1
63	этом и состоит	1	1
64	то же самое	2	1
65	тот или иной	1	1
66	же самое что	2	1
67	приходится искать в	1	1
68	состоит в том	2	1
69	однако это не	1	1
70	и сам он	2	1
71	но при этом	3	1
72	и в жизни	1	1
73	это было бы	1	1
74	это не более	1	1
75	но и его	1	1
76	в то что	1	1
77	тут не в	1	1
78	у него в	1	1
79	пока еще не	1	1
80	нет и не	1	1
81	только в том	2	1
82	а для того	1	1
83	та или иная	1	1
84	том числе и	1	1
85	и все же	1	1
86	то время как	1	1
87	тогда как сам	1	1
88	а не в	2	1
89	я не могу	1	1
90	на наших глазах	1	1
91	в противоречие с	1	1
92	в то время	1	1
