N	3gram	Nazirov_Tr_1	Komedia
1	в том что	2	9
2	и т п	1	5
3	в одном из	1	4
4	в то же	5	4
5	в конце концов	1	4
6	то же время	5	4
7	том что он	1	4
8	о том что	2	3
9	несмотря на всю	1	3
10	после того как	1	3
11	как и в	1	2
12	во всяком случае	1	2
13	в чем же	1	1
14	может быть в	1	1
15	предстает перед нами	1	1
16	с самого начала	1	1
17	сам по себе	1	1
18	одном из своих	1	1
19	а между тем	1	1
20	в той же	1	1
21	к тому что	1	1
22	что он не	1	1
23	ответа на вопрос	1	1
24	бросается в глаза	2	1
25	в разговоре с	1	1
26	тем не менее	1	1
27	в обоих случаях	1	1
28	и в дальнейшем	2	1
29	всяком случае что	1	1
30	обстоит дело с	1	1
31	что все это	1	1
32	смысле этого слова	1	1
33	но при этом	1	1
34	и что же?	1	1
35	сравнивает его с	1	1
36	в высшей степени	1	1
37	в применении к	1	1
38	этим объясняется и	1	1
39	в отличие от	2	1
40	могут быть отнесены	1	1
41	на всю ее	1	1
42	в данном случае	2	1
