1	в том что	17	18
2	состоит в том	2	13
3	в данном случае	4	6
4	в этом случае	1	6
5	для того чтобы	13	6
6	и т д	2	5
7	вместе с тем	1	4
8	и в других	1	4
9	так же как	4	4
10	о том что	4	4
11	в отличие от	1	3
12	не может быть	8	3
13	подобно тому как	2	3
14	после того как	1	2
15	бросается в глаза	1	2
16	с одной стороны	1	2
17	по этому поводу	1	2
18	не что иное	1	2
19	тем не менее	4	2
20	в том чтобы	3	2
21	в этом и	1	2
22	что иное как	1	2
23	в то время	3	2
24	же как и	1	2
25	дело так будто	1	1
26	что при этом	2	1
27	а как раз	1	1
28	принадлежат к числу	1	1
29	если эта теория	1	1
30	на этом основании	1	1
31	как раз наоборот	1	1
32	но и в	1	1
33	по аналогии с	1	1
34	но так как	2	1
35	во всем этом	1	1
36	том что в	2	1
37	в свою очередь	2	1
38	потому что он	1	1
39	делается для того	1	1
40	можно было бы	4	1
41	то увидим что	1	1
42	а между тем	1	1
43	так как в	2	1
44	к выводу что	1	1
45	и в таком	1	1
46	то время как	2	1
47	во всяком случае	2	1
48	потому что в	1	1
49	в этом отношении	5	1
50	с того что	1	1
51	совершенно очевидно что	1	1
52	того чтобы вызвать	1	1
53	более или менее	1	1
54	т д с	1	1
55	но и как	1	1
56	мы указывали на	1	1
57	и таким образом	2	1
58	что в некоторых	1	1
59	как и другие	1	1
60	за тридевять земель	1	1
61	того или другого	1	1
62	можно сказать что	1	1
63	о том как	1	1
64	это делается для	1	1
65	может быть не	1	1
66	указывает что в	1	1
67	с другой стороны	2	1
68	с тем и	1	1
69	и в том	2	1
70	таким образом в	2	1
71	на то что	6	1
72	как и в	2	1
73	не только на	1	1
74	не могла быть	1	1
75	здесь мы имеем	1	1
