N	3gram	Savitsky_P_1	Psycholo
1	совершенно ясно что	1	14
2	в том что	4	9
3	и т д	1	8
4	не может быть	1	8
5	заключается в том	2	6
6	во всяком случае	1	6
7	с одной стороны	3	5
8	с другой стороны	1	5
9	для того чтобы	1	5
10	не в том	1	5
11	само по себе	1	5
12	так же как	1	4
13	в отличие от	1	3
14	в собственном смысле	1	3
15	что в этом	1	3
16	в этом смысле	1	2
17	как одна из	1	2
18	в настоящее время	1	2
19	более или менее	1	2
20	не было бы	1	2
21	вместе с тем	1	2
22	с точки зрения	3	2
23	в применении к	1	2
24	сколько бы ни	1	1
25	с тем чтобы	1	1
26	в том числе	2	1
27	если мы не	1	1
28	и вслед за	1	1
29	по сравнению с	1	1
30	до тех пор	1	1
31	и в частности	1	1
32	мы не только	1	1
33	что то же	1	1
34	и в этом	1	1
35	именно потому что	1	1
36	что с точки	1	1
37	или что то	1	1
38	она должна была	1	1
39	разных точек зрения	1	1
40	во многих случаях	1	1
41	науки и техники	1	1
42	идет именно о	1	1
43	и есть в	1	1
44	в значительной мере	2	1
45	и то что	1	1
46	не только в	4	1
47	есть прежде всего	1	1
48	одной стороны и	2	1
49	мы видим в	1	1
50	в полной мере	2	1
51	в известном смысле	1	1
52	в различных формах	1	1
53	теория исторического материализма	1	1
54	сами по себе	3	1
55	тех пор пока	1	1
56	та или иная	1	1
57	заключает в себе	2	1
58	том числе и	1	1
59	не в области	1	1
60	этого процесса нужно	1	1
61	есть как бы	1	1
62	если бы мы	1	1
63	мы все же	1	1
