N	4gram	Medvedev_F_3	EvropaiC
1	в каждый данный момент	1	3
2	о которых идет речь	1	3
3	одного и того же	1	3
4	в то же время	7	2
5	бы то ни было	4	2
6	что же касается до	1	2
7	и в том же	1	1
8	в том что они	1	1
9	в том числе и	1	1
10	и не может быть	3	1
11	одной и той же	1	1
12	не в том что	1	1
13	в том или ином	1	1
14	но и помимо этого	1	1
15	только в этом случае	1	1
16	с точки зрения одной	1	1
17	нет и не может	2	1
18	дело в том что	1	1
19	что в данном случае	1	1
20	в самом деле ведь	1	1
21	мы уже знаем что	2	1
