N	4gram	Vygotskiy__5	Morfolog
1	таким образом мы видим	1	2
2	образом мы видим что	2	2
3	состоит в том что	2	2
4	в собственном смысле слова	1	2
5	в то время как	1	2
6	до сих пор не	1	1
7	одно и то же	3	1
8	с самого начала в	1	1
9	на то что ему	1	1
10	можно было бы показать	1	1
11	каждый в отдельности может	1	1
12	показать как в этих	1	1
13	которых каждый в отдельности	1	1
14	для наших целей это	1	1
15	не что иное как	2	1
16	то для того чтобы	1	1
17	мы видим таким образом	1	1
18	видим таким образом что	1	1
19	в том что он	1	1
20	мы видим что с	1	1
21	но для наших целей	1	1
22	из которых каждый в	1	1
