N	3gram	Kanaev_Sov_1	EvropaiC
1	в том что	1	16
2	до сих пор	1	12
3	по отношению к	1	10
4	друг с другом	2	9
5	с точки зрения	5	8
6	на самом деле	1	7
7	мы знаем что	1	7
8	в самом деле	1	5
9	в этом случае	1	4
10	совершенно так же	1	4
11	в том случае	1	4
12	может быть и	2	4
13	в этой области	1	4
14	не может быть	4	4
15	тот факт что	1	4
16	тем не менее	2	4
17	не может не	3	3
18	в настоящее время	2	3
19	не подлежит сомнению	2	3
20	так же как	1	3
21	в данном случае	1	3
22	в связи с	1	3
23	и может быть	1	2
24	бы то ни	1	2
25	заключает в себе	1	2
26	то же время	1	2
27	то ни было	1	2
28	с одной стороны	1	2
29	во всяком случае	2	2
30	в свою очередь	2	2
31	но все же	1	2
32	не более как	1	2
33	в то же	1	2
34	теперь мы должны	1	1
35	уже знаем что	1	1
36	бы все это	1	1
37	дело в том	1	1
38	то же самое	2	1
39	а потом и	1	1
40	они не могут	1	1
41	и не может	1	1
42	в зависимости от	4	1
43	представление о том	1	1
44	друг на друга	1	1
45	заключают в себе	1	1
46	а может быть	1	1
47	таким образом все	1	1
48	но мы знаем	1	1
49	по крайней мере	1	1
50	что все они	1	1
51	мы не знаем	1	1
52	с одной и	1	1
53	это не более	1	1
54	приспособления к среде	1	1
55	не в том	1	1
56	с и т.д	1	1
57	и той же	1	1
58	именно в том	1	1
59	шаг за шагом	1	1
60	и все же	1	1
61	все они одинаково	1	1
62	ни то ни	1	1
63	в первое время	1	1
64	может не быть	1	1
65	же самое что	1	1
66	то ни другое	1	1
67	и что следовательно	1	1
68	с самого начала	3	1
69	по его мнению	1	1
70	мы видели что	3	1
71	мы видим что	1	1
72	важную роль в	1	1
73	одной и той	1	1
74	все это делает	1	1
75	мы уже знаем	1	1
76	и у нас	1	1
77	что каждый раз	1	1
78	тот или иной	1	1
