N	4gram	Berdyaev_O_1	Mirosoze
1	и там и здесь	1	6
2	в этом он был	1	2
3	взял все что было	1	2
4	легенды о великом инквизиторе	1	1
5	побороли свободу и сделали	1	1
6	они побороли свободу и	1	1
7	человеческого общества невыносимее свободы	1	1
8	зло было для него	1	1
9	никогда не было для	1	1
10	и неопределенного взял все	1	1
11	записках из подполья и	1	1
12	человека к человеку но	1	1
13	и никогда не было	1	1
14	наконец-то они побороли свободу	1	1
15	необычайного гадательного и неопределенного	1	1
16	ретроградной и насмешливой физиономией	1	1
17	в самой последней глубине	1	1
18	последней глубине человека в	1	1
19	в заслугу себе и	1	1
20	говорят о том что	1	1
21	заслугу себе и своим	1	1
22	что наконец-то они побороли	1	1
23	себе и своим что	1	1
24	для достоевского душа человеческая	1	1
25	о том все ли	1	1
26	у достоевского нельзя найти	1	1
27	не только бога но	1	1
28	что было не по	1	1
29	к человеку у достоевского	1	1
30	он был до глубины	1	1
31	и сделали так для	1	1
32	а потому поступил как	1	1
33	ты взял все что	1	1
34	находится в противоречии с	1	1
35	только бога но и	1	1
36	ничего и никогда не	1	1
37	самой последней глубине человека	1	1
38	связано у достоевского с	1	1
39	того чтобы сделать людей	1	1
40	было не по силам	1	1
41	в записках из подполья	3	1
42	не было для человека	1	1
43	легенда о великом инквизиторе	2	1
44	и своим что наконец-то	1	1
45	неопределенного взял все что	1	1
46	для того чтобы сделать	1	1
47	записок из подполья и	1	1
48	гадательного и неопределенного взял	1	1
49	процессе мити карамазова достоевский	1	1
50	можно ли сказать что	2	1
51	том все ли дозволено	1	1
52	в преступлении и наказании	3	1
53	сделали так для того	1	1
54	потому поступил как бы	1	1
55	своим что наконец-то они	1	1
56	с ретроградной и насмешливой	1	1
57	в обычном смысле слова	1	1
58	свободу и сделали так	1	1
59	этом он был гностиком	1	1
60	было для человека и	1	1
61	эксперименты над человеческой природой	1	1
62	от того что человек	1	1
63	так для того чтобы	1	1
64	все что было не	1	1
