N	3gram	Bakhtin_Fr_4	UchenyiS
1	в конечном счете	1	4
2	не может быть	1	4
3	в то же	8	3
4	то же время	8	3
5	с другой стороны	3	3
6	и то что	1	2
7	в этом отношении	1	2
8	но даже и	1	2
9	в конце концов	4	2
10	тех или иных	1	2
11	до сих пор	1	2
12	в том что	1	2
13	то же самое	1	2
14	с одной стороны	2	1
15	но это же	1	1
16	на эту книгу	1	1
17	литературы и искусства	1	1
18	более или менее	3	1
19	не только в	2	1
20	и независимо от	1	1
21	и в конце	1	1
22	но конечно не	2	1
23	и в то	4	1
24	но в то	1	1
25	тем что он	1	1
26	можно сказать что	1	1
27	все же не	1	1
28	но это не	1	1
29	другой стороны в	1	1
30	на первый план	1	1
31	в той же	1	1
32	в этой же	3	1
33	в данном случае	1	1
34	же самое что	1	1
35	в этом плане	1	1
36	на первый взгляд	1	1
37	и все они	1	1
38	в буквальном смысле	1	1
