N	3gram	Berdyaev_O_1	Dialekti
1	в том что	1	6
2	о том что	1	4
3	сам по себе	1	3
4	как будто бы	1	3
5	в самом деле	1	3
6	не может быть	2	3
7	что это за	1	2
8	от того что	1	2
9	в одно время	1	2
10	и прежде всего	1	2
11	во всяком случае	1	2
12	само по себе	1	2
13	не могут быть	2	2
14	как и все	2	2
15	не есть просто	1	1
16	в виду не	1	1
17	в братьях карамазовых	1	1
18	не было и	1	1
19	том что в	1	1
20	но и в	2	1
21	и то что	1	1
22	друг с другом	1	1
23	по сравнению с	1	1
24	да и то	1	1
25	одном месте и	1	1
26	и в этом	2	1
27	и не очень	1	1
28	и в том	1	1
29	ни с какой	1	1
30	бросается в глаза	1	1
31	есть не только	1	1
32	ли сказать что	2	1
33	и не может	1	1
34	человека и не	1	1
35	бы и не	1	1
36	ни с чем	1	1
37	и не быть	1	1
38	нет у него	1	1
39	еще не овладел	1	1
40	но почему же	1	1
41	о том как	1	1
42	в этом отношении	1	1
43	можно ли сказать	2	1
44	в одном месте	1	1
45	а не только	1	1
46	не в том	1	1
47	это было бы	2	1
