N	3gram	Propp_Russ_2	Literetu
1	не может быть	3	7
2	с одной стороны	2	6
3	в том что	18	5
4	с другой стороны	1	4
5	состоит в том	13	4
6	в том чтобы	2	3
7	в этом отношении	1	3
8	в данном случае	6	3
9	о том что	4	2
10	подобно тому как	3	2
11	в этом случае	6	2
12	тем не менее	2	2
13	мы не можем	2	1
14	том что в	1	1
15	от земли и	1	1
16	в этот день	10	1
17	во многих отношениях	1	1
18	об умирающем и	1	1
19	для того чтобы	6	1
20	имея в виду	1	1
21	из того что	1	1
22	есть рассказ о	1	1
23	после того как	2	1
24	как мы видели	1	1
25	можно было бы	1	1
26	в свою очередь	1	1
27	в отличие от	3	1
28	все то что	1	1
29	а так как	1	1
30	вместе с тем	4	1
31	в такой же	1	1
32	во всех этих	1	1
33	состоит не в	1	1
34	не только как	1	1
