N	3gram	Nazirov_Vr_1	Dialekti
1	с точки зрения	2	9
2	в том что	2	9
3	по крайней мере	1	7
4	не может быть	2	6
5	то же время	4	6
6	в то же	4	6
7	в этом смысле	1	4
8	это и есть	1	4
9	имеется в виду	1	3
10	и в этом	1	3
11	или по крайней	1	3
12	на то что	1	3
13	равно как и	1	2
14	же время и	1	2
15	о том как	1	2
16	и в то	1	2
17	точно так же	1	2
18	но в то	2	2
19	в свою очередь	1	2
20	тем не менее	1	2
21	на первый план	1	1
22	в романе достоевского	1	1
23	знали что он	1	1
24	в той же	1	1
25	не было бы	1	1
26	то что я	1	1
27	же возникает вопрос	1	1
28	и то что	1	1
29	в это время	1	1
30	в конце концов	1	1
31	такая же как	1	1
32	что он сам	1	1
33	в этот момент	2	1
34	в связи с	3	1
35	как бы в	1	1
36	сама жизнь и	1	1
37	имел в виду	3	1
38	связи с этим	1	1
39	о том что	1	1
40	не имеет никаких	1	1
41	не только не	1	1
42	и не может	1	1
43	речь идет о	1	1
44	он как бы	1	1
45	может быть иначе	1	1
46	с другой стороны	1	1
47	в свете этой	1	1
48	но это не	1	1
