N	4gram	Vygotskiy__4	Marksizm
1	бы то ни было	1	8
2	в то же время	1	3
3	одной и той же	2	2
4	до тех пор пока	2	2
5	в самом деле если	1	2
6	так же как и	1	2
7	именно в том что	1	1
8	и с точки зрения	1	1
9	самом деле если мы	1	1
10	точном смысле этого слова	2	1
11	это и есть та	1	1
12	в точном смысле этого	1	1
13	с этой точки зрения	1	1
14	или во всяком случае	1	1
15	друг с другом и	2	1
16	может быть отделен от	1	1
17	в одной и той	1	1
18	сводится к тому что	2	1
19	одна и та же	2	1
20	в том что он	1	1
21	так же нелепо как	1	1
22	следует ли отсюда что	1	1
23	какой бы то ни	1	1
