N	4gram	Losev_Dial_2	Myshleni
1	заключается в том что	1	4
2	в то время как	3	4
3	с самого начала что	1	2
4	по самой своей природе	1	2
5	в том что он	1	2
6	с одной стороны и	1	1
7	и в другом случае	1	1
8	друг с другом что	1	1
9	и вместе с тем	1	1
10	по одному тому что	1	1
11	одно и то же	4	1
12	между тем и другим	1	1
13	вопрос о том что	1	1
14	есть одно и то	1	1
15	в том смысле что	3	1
16	все более и более	1	1
17	не что иное как	3	1
18	то время как в	1	1
19	так же как и	1	1
20	уже сама по себе	1	1
21	есть не что иное	2	1
