N	3gram	Berdyaev_V_1	VLabPisa
1	и т д	2	15
2	с другой стороны	1	8
3	хотя бы и	1	5
4	не могут быть	1	4
5	в том что	2	4
6	к тому что	3	3
7	бы и не	2	3
8	вместе с тем	1	3
9	в конце концов	1	2
10	по крайней мере	1	2
11	все это мы	1	1
12	по сравнению с	1	1
13	что не могут	1	1
14	это одна из	1	1
15	и никогда не	1	1
16	и вместе с	1	1
17	а между тем	2	1
18	после того как	1	1
19	мы видим что	1	1
20	не было еще	2	1
21	есть то что	1	1
22	и есть то	1	1
23	но и в	2	1
24	другой стороны в	1	1
25	в существе своем	2	1
26	его хотя бы	1	1
27	все это имеет	1	1
