N	4gram	Voloshinov_1	slovoVRo
1	в то же время	1	12
2	но в то же	1	4
3	одно и то же	2	2
4	в то время как	1	2
5	как мы уже сказали	1	2
6	бы оно ни было	1	1
7	какая бы то ни	1	1
8	каковы бы они ни	1	1
9	имеем в виду не	1	1
10	а между тем это	1	1
11	бы они ни были	1	1
12	не может находиться в	1	1
13	и с другой стороны	1	1
14	в какой степени не	1	1
15	мы имеем в виду	1	1
16	на самом же деле	1	1
17	находит свое выражение в	1	1
18	быть более или менее	1	1
19	дело в том что	4	1
20	бы то ни было	3	1
21	каково бы оно ни	1	1
22	но и в истории	1	1
23	ни в какой степени	1	1
