N	3gram	Bakhtin_Fr_5	UchenyiS
1	в конечном счете	1	4
2	не может быть	2	4
3	в то же	9	3
4	то же время	9	3
5	и в этой	1	2
6	в этом отношении	5	2
7	и в частности	1	2
8	в самом деле	1	2
9	до сих пор	3	2
10	в том что	6	2
11	то же самое	2	2
12	в значительной мере	1	1
13	и в различных	1	1
14	друг с другом	2	1
15	конечно не в	1	1
16	надо было сделать	1	1
17	и в то	1	1
18	но в то	5	1
19	можно сказать что	2	1
20	все это в	1	1
21	но это не	1	1
22	этом отношении очень	1	1
23	это то же	1	1
24	является одним из	1	1
25	и прежде всего	3	1
26	что в своей	1	1
27	в этой же	1	1
28	в данном случае	2	1
