N	2gram	Medvedev_B_1	FransuaR
1	и в	1	49
2	прежде всего	1	19
3	и на	1	17
4	не только	1	17
5	и не	2	15
6	в эпоху	1	13
7	все это	2	9
8	все же	1	7
9	таким образом	1	7
10	так и	1	6
11	в своей	1	5
12	и потому	1	5
13	и более	1	4
14	в области	1	4
15	с другой	1	4
16	и во	1	4
17	не было	1	4
18	и о	1	4
19	можно было	2	3
20	было бы	1	3
21	далеко не	1	3
22	в значительной	1	3
23	в книге	1	3
24	другой стороны	1	3
25	на самом	1	2
26	видеть в	2	2
27	в ней	2	2
28	меньше чем	1	2
29	еще не	1	2
30	за пределы	1	2
31	значительной степени	1	2
32	что в	1	2
33	к ней	1	2
34	своей книге	1	2
35	в пределах	1	2
36	одной из	1	2
37	всяком случае	1	2
38	до конца	1	2
39	совершенно не	1	2
40	из своей	1	2
41	во всяком	1	2
42	художественном произведении	1	1
43	по этим	1	1
44	должна быть	1	1
45	не вполне	1	1
46	что все	1	1
47	об этом	1	1
48	говорить не	1	1
49	свою книгу	1	1
50	литературы как	1	1
51	творчества и	1	1
52	и полно	1	1
53	и свободный	1	1
54	больше чем	2	1
55	точке зрения	1	1
56	и ее	1	1
57	не о	1	1
58	со всем	1	1
59	выходит за	1	1
60	а о	1	1
61	а не	1	1
62	чем на	1	1
63	всего в	1	1
64	будто бы	1	1
