N	4gram	Tiupa_Lite_2	Hudozhes
1	в то же время	9	6
2	одно и то же	2	3
3	состоит в том что	3	3
4	в том числе и	1	2
5	и в то же	1	2
6	приводит к тому что	1	2
7	мы имеем дело с	1	1
8	числе и трагическое есть	1	1
9	отдельные слова не разложимое	1	1
10	по всеохватывающей своей широте	1	1
11	утверждение о жизни по	1	1
12	бы то ни было	1	1
13	с этой точки зрения	1	1
14	исходит из того что	1	1
15	рассказ о счастье существования	1	1
16	в роли ценностного центра	1	1
17	своей широте на отдельные	1	1
18	всеохватывающей своей широте на	1	1
19	широте на отдельные слова	1	1
20	на отдельные слова не	1	1
21	может быть это точка	1	1
22	том числе и трагическое	1	1
23	не для себя а	1	1
24	для себя а для	1	1
25	какое-то утверждение о жизни	1	1
26	всей своей полноте и	1	1
27	трагическое есть рассказ о	1	1
28	и трагическое есть рассказ	1	1
29	гегель именовал веком героев	1	1
30	искусство в том числе	1	1
31	есть рассказ о счастье	1	1
32	быть это точка безумия	1	1
33	о жизни по всеохватывающей	1	1
34	креативного и рецептивного сознаний	1	1
35	жизни по всеохватывающей своей	1	1
36	во всей своей полноте	1	1
