N	3gram	Voloshinov_1	Mirosoze
1	не может быть	4	8
2	есть прежде всего	3	5
3	для того чтобы	1	4
4	что иное как	2	3
5	к тому что	1	3
6	так же как	1	3
7	есть не что	2	3
8	не что иное	2	3
9	подобно тому как	1	2
10	и никогда не	1	2
11	может быть и	1	2
12	по отношению к	3	2
13	как и в	1	2
14	в том что	2	2
15	том что в	1	1
16	эта аналогия между	1	1
17	не мог бы	1	1
18	в которых он	1	1
19	с точки зрения	5	1
20	не могу поверить	1	1
21	между тем как	1	1
22	в этом отношении	1	1
23	на то что	1	1
24	но в действительности	1	1
25	и есть не	1	1
26	и других представителей	1	1
27	но и его	1	1
28	но так как	2	1
29	что же такое	1	1
30	в свои права	1	1
31	в разных местах	1	1
32	та или иная	1	1
33	хотя бы в	1	1
34	на самом деле	1	1
35	не в ее	1	1
