N	3gram	Kanaev_Sov_1	RusskieA
1	в том что	1	15
2	в этом случае	1	5
3	в связи с	1	4
4	в настоящее время	2	3
5	с точки зрения	5	3
6	тем не менее	2	3
7	мы не можем	6	3
8	в западной европе	1	2
9	для наших целей	1	2
10	но тем не	1	2
11	может быть и	2	2
12	не что иное	1	2
13	в свою очередь	2	2
14	что иное как	1	2
15	но все же	1	2
16	и у нас	1	2
17	всяком случае не	1	1
18	мы должны признать	1	1
19	только одна из	1	1
20	друг с другом	2	1
21	и в этом	1	1
22	мы уже знаем	1	1
23	при таком методе	2	1
24	одни и те	1	1
25	их и что	1	1
26	и могут быть	1	1
27	так же как	1	1
28	так как он	2	1
29	и та же	1	1
30	можно было бы	1	1
31	не более как	1	1
32	на самом деле	1	1
33	по отношению к	1	1
34	в отличие от	2	1
35	ничего общего не	1	1
36	и что следовательно	1	1
37	во всяком случае	2	1
38	как мы видим	1	1
39	научное объяснение их	1	1
40	мы видим что	1	1
41	одна и та	1	1
42	на другой день	1	1
43	на этот вопрос	1	1
44	можно говорить об	1	1
45	и те же	1	1
46	в данном случае	1	1
