N	4gram	Bakhtin_fo_1	Formalny
1	в то же время	6	5
2	не может быть и	1	3
3	в связи с этим	2	3
4	может быть и речи	1	3
5	и в то же	4	3
6	вместе с тем и	1	2
7	не для того чтобы	2	1
8	и т п такая	1	1
9	и т п все	1	1
10	в процессе разрешения этой	1	1
11	и прежде всего в	1	1
12	та же что и	1	1
13	все более и более	1	1
14	мы имеем в виду	1	1
15	или во всяком случае	1	1
16	не может быть конечно	2	1
17	имеет место и в	1	1
18	ни в чем не	2	1
19	но в то же	1	1
20	и до сих пор	1	1
21	по самому своему существу	1	1
22	остановимся прежде всего на	1	1
