N	3gram	Bakhtin_KF_1	Myshleni
1	в том что	2	31
2	с точки зрения	9	11
3	в этом смысле	3	8
4	то же самое	1	7
5	и тот же	1	7
6	смысле этого слова	1	7
7	один и тот	1	7
8	и того же	1	5
9	одного и того	1	5
10	для того чтобы	1	5
11	и то что	1	4
12	и тем самым	1	4
13	на то что	1	4
14	вместе с тем	1	3
15	между тем как	3	3
16	во всяком случае	1	3
17	нашей точки зрения	1	2
18	в настоящее время	1	2
19	не может не	1	2
20	только в том	1	2
21	в целом и	2	2
22	в противоречие с	1	2
23	как и на	1	2
24	с нашей точки	1	2
25	в свою очередь	1	2
26	и в результате	1	2
27	в том смысле	1	2
28	и только в	2	2
29	на том что	1	1
30	потому что в	1	1
31	мы никогда не	1	1
32	равно как и	1	1
33	на самом деле	3	1
34	он может быть	2	1
35	и во всех	1	1
36	в зависимости от	1	1
37	на задний план	1	1
38	бы то ни	2	1
39	вступает в противоречие	1	1
40	и та же	1	1
41	и т.п но	1	1
42	вместо того чтобы	1	1
43	то что этот	1	1
44	но во всяком	1	1
45	отношения могущие быть	1	1
46	как если бы	1	1
47	не подлежит сомнению	1	1
48	в том случае	1	1
49	к тому что	1	1
50	во всех остальных	1	1
51	слова и его	1	1
52	если мы возьмем	1	1
53	то ни было	2	1
54	все это в	1	1
55	том что мы	1	1
56	между ним и	1	1
57	здесь мы имеем	2	1
58	во всей полноте	1	1
59	лежит в основе	1	1
60	не по способу	1	1
61	по своей структуре	1	1
62	не содержит в	1	1
63	и как бы	1	1
64	в действительной жизни	1	1
65	со стороны его	1	1
66	действительность при этом	1	1
67	одна и та	1	1
68	что и делает	1	1
69	что в области	1	1
70	когда мы говорим	1	1
71	не может быть	11	1
72	и должен быть	1	1
73	по отношению к	22	1
74	но для того	1	1
75	и только по	1	1
76	само по себе	1	1
77	относит его к	2	1
78	ни на один	1	1
79	вопрос о том	2	1
80	мы говорим о	1	1
81	отсюда ясно что	1	1
82	тем не менее	2	1
83	решения этой задачи	1	1
84	и было бы	1	1
85	может быть в	3	1
86	что и в	1	1
87	только тогда когда	1	1
88	в том же	1	1
