N	3gram	Medvedev_U_1	Komedia
1	до сих пор	2	9
2	в том что	2	9
3	в самом деле	2	6
4	в то же	3	4
5	то же время	3	4
6	с одной стороны	1	3
7	то же самое	2	3
8	так или иначе	1	2
9	с другой стороны	3	2
10	то ни было	3	2
11	в этом случае	1	2
12	в этом отношении	2	2
13	в конечном счете	4	2
14	в конце концов	2	2
15	бы то ни	3	2
16	они относятся к	1	1
17	друг с другом	1	1
18	когда бы то	1	1
19	таким образом на	1	1
20	и в частности	2	1
21	и в то	1	1
22	не о чем	1	1
23	в первую очередь	1	1
24	можно сказать что	1	1
25	равно как и	1	1
26	на то что	1	1
27	на первый план	1	1
28	рассматривать не как	1	1
29	имеем в виду	1	1
30	же самое что	1	1
31	на предыдущих страницах	1	1
32	приходится признать что	1	1
33	более или менее	1	1
34	но он уже	1	1
35	все что угодно	1	1
36	мы имеем в	1	1
37	том что она	1	1
38	конечно не приходится	1	1
39	по крайней мере	2	1
