N	4gram	Tiupa_Disk_1	Psycholo
1	заключается в том что	1	4
2	одним и тем же	1	3
3	одно и то же	1	3
4	одного и того же	2	2
5	состоит в том что	1	2
6	с одной стороны и	2	1
7	говорить не только о	1	1
8	с одной стороны это	1	1
9	как будто бы противоречит	1	1
10	сами по себе не	1	1
11	в том или ином	1	1
12	с одной стороны он	1	1
13	ни о чем не	1	1
14	в том что он	1	1
15	в том что в	2	1
16	сам по себе не	1	1
17	когда она еще не	1	1
18	том что он не	1	1
19	мы имеем дело с	1	1
20	состоит именно в том	1	1
21	в том что всякое	1	1
22	уверенность в том что	1	1
23	в том что с	1	1
24	дело в том что	1	1
