N	4gram	Medvedev_F_3	Analitik
1	в то же время	7	6
2	и не может быть	3	4
3	бы то ни было	4	3
4	в том или ином	1	2
5	одного и того же	1	2
6	ни в коем случае	1	2
7	в коем случае не	1	2
8	той мере в какой	1	2
9	в той мере в	1	2
10	нет и не может	2	2
11	какой бы то ни	1	2
12	в том числе и	1	1
13	или ином ее аспекте	1	1
14	не от отца к	1	1
15	с этой точки зрения	1	1
16	мы имеем в виду	1	1
17	в той же мере	1	1
18	каков бы ни был	1	1
19	чего бы то ни	1	1
20	и т п таким	1	1
21	от отца к сыну	1	1
22	мере в какой это	1	1
23	но в таком случае	1	1
24	бы оно ни было	1	1
25	в химическом соединении с	2	1
26	т п таким образом	1	1
27	в собственном смысле слова	1	1
28	том или ином ее	1	1
29	один и тот же	1	1
30	одной и той же	1	1
31	с той или иной	1	1
32	как это происходит в	1	1
33	на самом же деле	2	1
34	одни и те же	3	1
35	той же мере и	1	1
36	а то и просто	1	1
