N	4gram	Bakhtin_fo_1	TeoriaLi
1	в то же время	6	6
2	одного и того же	5	2
3	одно и то же	3	2
4	и не могло быть	1	2
5	имеет место слияние пространственных	1	1
6	в том числе и	2	1
7	не было и не	1	1
8	и временных примет в	1	1
9	как раз в том	1	1
10	осмысленном и конкретном целом	1	1
11	с самим собою в	1	1
12	мы имеем в виду	1	1
13	примет в осмысленном и	1	1
14	было и не могло	1	1
15	в том что в	1	1
16	пространственных и временных примет	1	1
17	но в то же	1	1
18	хронотопе имеет место слияние	1	1
19	человека с самим собою	1	1
20	в той или иной	1	1
21	и в то же	4	1
22	место слияние пространственных и	1	1
23	временных примет в осмысленном	1	1
24	но дело в том	1	1
25	в нашем случае в	1	1
26	в осмысленном и конкретном	1	1
27	слияние пространственных и временных	1	1
28	дело в том что	2	1
29	включает в себя и	1	1
