N	3gram	Savitsky_P_1	RusskieA
1	в том что	4	15
2	в xix в	1	10
3	и т д	1	9
4	том что в	1	6
5	вместе с тем	1	6
6	в настоящее время	1	3
7	с точки зрения	3	3
8	что в этом	1	2
9	мы не будем	1	2
10	в большинстве случаев	1	2
11	во многих случаях	1	2
12	и не только	2	1
13	но и другие	1	1
14	можно говорить о	1	1
15	можно судить по	1	1
16	в собственном смысле	1	1
17	не связаны с	1	1
18	том что во	1	1
19	в своем значении	2	1
20	можно думать что	1	1
21	не только в	4	1
22	в отличие от	1	1
23	и в этом	1	1
24	нужно обратиться к	1	1
25	не только как	1	1
26	потому что по	1	1
27	во всяком случае	1	1
28	так же как	1	1
29	сливаются в одно	1	1
30	и другие народы	1	1
31	более широкой и	1	1
32	не более как	1	1
33	но для каждого	1	1
34	друг с другом	1	1
