1	и в	1	46
2	и не	2	27
3	в этом	2	16
4	и с	3	7
5	все это	1	6
6	никогда не	1	6
7	жизни и	1	5
8	и сам	1	5
9	отношению к	1	5
10	по отношению	1	5
11	все эти	1	4
12	что в	2	4
13	так и	1	4
14	он не	2	4
15	если бы	1	3
16	преступления и	1	3
17	и наказания	1	3
18	того же	1	3
19	и о	1	3
20	другой стороны	1	3
21	бы в	1	3
22	с другой	1	3
23	тем что	1	3
24	себя в	1	3
25	по существу	1	3
26	от этого	1	2
27	для него	1	2
28	самого достоевского	1	2
29	не дает	1	2
30	творчества достоевского	2	2
31	могло бы	1	2
32	автора и	1	2
33	ничего не	2	2
34	а в	1	2
35	к достоевскому	1	2
36	в художественном	1	2
37	то и	1	2
38	автор не	1	2
39	вплоть до	1	1
40	от нее	1	1
41	того чтобы	1	1
42	а по	1	1
43	во многом	1	1
44	достоевского с	1	1
45	его личности	1	1
46	и др	1	1
47	по поводу	1	1
48	и чрезвычайно	1	1
49	нисколько не	1	1
50	и без	1	1
51	ибо и	1	1
52	из подполья	1	1
53	а с	1	1
54	и очень	1	1
55	в значительной	1	1
56	мертвого дома	1	1
57	художественном творчестве	1	1
58	в них	1	1
59	человек никогда	1	1
60	знать и	1	1
61	в целом	1	1
62	что для	1	1
63	со всеми	1	1
64	и еще	1	1
65	что при	1	1
