N	3gram	Propp_Russ_1	StatiiOP
1	в том что	15	16
2	о том что	4	11
3	в этом отношении	1	9
4	и т д	9	6
5	вместе с тем	6	5
6	к тому что	4	5
7	после того как	2	4
8	в одном из	1	3
9	иметь в виду	1	3
10	и т п	1	3
11	так же как	1	3
12	обращает на себя	1	3
13	во всяком случае	1	3
14	вопрос о том	1	3
15	до того как	2	3
16	том что в	6	2
17	еще до того	1	2
18	только потому что	1	2
19	не только по	2	2
20	на себя внимание	1	2
21	с точки зрения	3	2
22	в отличие от	1	2
23	в это время	2	2
24	ни в одном	1	2
25	и в этом	1	2
26	не до конца	1	2
27	всяком случае не	1	2
28	но все же	2	2
29	с тем что	1	2
30	на то что	1	2
31	по этому поводу	2	2
32	тем не менее	3	2
33	своих предков в	1	1
34	и теперь еще	1	1
35	что в этом	2	1
36	о том кто	1	1
37	в виду что	1	1
38	на самом деле	1	1
39	в настоящее время	3	1
40	но и по	1	1
41	в советское время	2	1
42	как и другие	3	1
43	идет не о	1	1
44	мог служить и	1	1
45	точно так же	1	1
46	на этот вопрос	1	1
47	говорит о том	1	1
48	связи с русской	1	1
49	была вместе с	1	1
50	т е в	1	1
51	в данном случае	1	1
52	пытался доказать что	1	1
53	имеет ничего общего	1	1
54	сомнений в том	1	1
55	одни и те	1	1
56	в связи с	4	1
57	но вместе с	1	1
58	друг к другу	2	1
59	и в том	1	1
60	потому что они	1	1
61	об этом можно	1	1
62	по отношению к	1	1
63	в то время	1	1
64	в свою очередь	2	1
65	в этом случае	5	1
66	к выводу что	2	1
67	ничего общего с	1	1
68	и что следовательно	1	1
69	во второй половине	1	1
70	и те же	1	1
71	можно судить по	1	1
72	не имеет ничего	1	1
73	как мы видели	1	1
