1	в то же время	5	8
2	но в то же	1	5
3	и пр и пр	4	3
4	все более и более	1	2
5	дело обстоит чрезвычайно плохо	1	2
6	в неразрывной связи с	1	2
7	может быть и речи	3	2
8	и до настоящего времени	1	2
9	не может быть и	3	2
10	но тем не менее	1	1
11	если же мы возьмем	1	1
12	не может быть от	1	1
13	у нас не было	1	1
14	не говоря уже о	1	1
15	же в таком случае	1	1
16	с самого начала ясно	1	1
17	языка не может быть	1	1
18	сам по себе а	2	1
19	может быть от него	1	1
20	пр и пр в	1	1
21	не сам по себе	1	1
22	самого начала ясно что	1	1
23	и не может быть	2	1
24	языка а не в	1	1
25	по себе а лишь	1	1
26	не что иное как	1	1
27	а в связи с	2	1
28	все время учитывать все	1	1
