N	4gram	Vinokur_Ku_3	EvropaiC
1	заключается в том что	1	3
2	одного и того же	2	3
3	в то же время	1	2
4	лишь в том случае	2	2
5	уже о том что	1	1
6	между тем вопрос о	1	1
7	только в том случае	1	1
8	то же самое что	1	1
9	и не может быть	1	1
10	который как мы видели	1	1
11	которое на самом деле	1	1
12	одной и той же	1	1
13	не в том что	2	1
14	а может быть и	1	1
15	говоря уже о том	1	1
16	до сих пор еще	3	1
17	по отношению к таким	1	1
18	на самом деле есть	1	1
19	не говоря уже о	2	1
20	что тот или иной	1	1
21	в тех случаях когда	1	1
22	в целом ряде случаев	1	1
23	но для того чтобы	1	1
24	в самом деле ведь	1	1
25	друг от друга в	1	1
