N	3gram	Propp_Russ_2	Marksizm
1	не может быть	3	10
2	для того чтобы	6	6
3	в том что	18	6
4	может быть и	1	5
5	в свою очередь	1	5
6	смысле этого слова	1	4
7	о том что	4	3
8	с одной стороны	2	3
9	в отличие от	3	3
10	как мы уже	1	3
11	на самом же	2	3
12	как мы видели	1	3
13	самом же деле	2	3
14	в двух направлениях	1	2
15	мы уже знаем	1	2
16	а иногда и	1	2
17	на то что	1	2
18	более или менее	1	2
19	но и в	1	2
20	во всяком случае	1	2
21	в этом и	2	1
22	далеко не так	1	1
23	дело в том	1	1
24	все то же	1	1
25	одна из них	1	1
26	для него не	1	1
27	в другом месте	1	1
28	мы видели что	4	1
29	как и в	1	1
30	в первую очередь	1	1
31	и в том	1	1
32	можно сказать что	1	1
33	это не совсем	1	1
34	всех этих случаях	1	1
35	с другой стороны	1	1
36	а может быть	1	1
37	но не только	1	1
38	ни одна из	1	1
39	в этом случае	6	1
40	и в других	4	1
41	не что иное	2	1
42	таким образом в	1	1
43	в этом отношении	1	1
44	в рудиментарной форме	1	1
45	что иное как	2	1
46	смысла и значения	1	1
47	с одним из	1	1
48	и это не	1	1
49	том что это	3	1
50	как мы увидим	1	1
51	связи с другими	1	1
52	во всех этих	1	1
53	тем не менее	2	1
