N	3gram	Bakhtin_fo_2	StatiiOP
1	в том что	3	16
2	о том что	1	11
3	в этом отношении	2	9
4	и т д	3	6
5	для того чтобы	7	5
6	до сих пор	2	5
7	к тому что	1	5
8	том что он	1	5
9	вместе с тем	1	5
10	что он не	1	4
11	с самого начала	1	3
12	в одном из	1	3
13	с другой стороны	1	3
14	и т п	11	3
15	в том же	4	2
16	для него самого	1	2
17	в другом месте	2	2
18	к тому времени	1	2
19	в отличие от	1	2
20	и в этом	3	2
21	с тем что	1	2
22	не до конца	1	2
23	века и в	1	2
24	то что в	1	2
25	сами по себе	2	2
26	с точки зрения	8	2
27	но все же	1	2
28	один у другого	1	1
29	для борьбы с	1	1
30	эту борьбу с	1	1
31	и как он	1	1
32	не похож на	2	1
33	но в отношении	1	1
34	в том числе	3	1
35	и в особенности	3	1
36	т д описание	1	1
37	важно подчеркнуть что	1	1
38	по сравнению с	1	1
39	прежде всего к	1	1
40	ни для кого	1	1
41	и для самого	1	1
42	на границе между	1	1
43	из того же	1	1
44	так что в	1	1
45	как она была	1	1
46	в конце концов	1	1
47	и вместе с	1	1
48	в данном отношении	1	1
49	что в этом	2	1
50	большую роль в	1	1
51	в этом случае	2	1
52	в своем рассказе	1	1
53	и то же	1	1
54	в то время	1	1
55	на самом деле	1	1
56	в виду что	1	1
57	совершенно особое место	1	1
58	в котором он	1	1
59	и в результате	1	1
60	такую большую роль	1	1
61	но он не	1	1
62	вместо того чтобы	1	1
63	в то же	4	1
64	в связи с	7	1
65	т п в	1	1
66	то же время	4	1
67	как мы видели	1	1
68	с тех пор	1	1
69	его борьба с	1	1
70	и в другом	1	1
71	к участию в	1	1
72	как бы ни	1	1
73	гл iii в	1	1
74	в свою очередь	1	1
75	потому что они	2	1
76	в данном случае	1	1
77	так и на	1	1
78	одно и то	1	1
