1	и не	1	27
2	и в	2	24
3	в этом	1	8
4	том что	2	8
5	ясно что	1	7
6	потому что	1	7
7	в самом	1	7
8	даже не	1	6
9	то же	1	6
10	я не	1	6
11	все это	1	6
12	самом деле	1	6
13	и только	1	6
14	так как	1	6
15	как же	1	5
16	и его	1	5
17	по крайней	1	5
18	в том	2	5
19	только в	1	5
20	одно и	1	5
21	но это	1	5
22	крайней мере	1	5
23	без знания	1	4
24	чего не	1	4
25	и то	1	4
26	хотя бы	1	4
27	и сводится	1	3
28	тем более	1	3
29	имеется в	1	3
30	все время	1	3
31	ни к	1	3
32	в их	1	2
33	так в	1	2
34	по существу	1	2
35	именно в	1	2
36	в частности	1	2
37	ведь это	1	2
38	да и	1	1
39	одном и	1	1
40	не хочу	1	1
41	что сами	1	1
42	знания без	1	1
43	совершенно ясно	1	1
44	своим словесным	1	1
45	в устах	1	1
46	вращаясь в	1	1
47	к чему	1	1
48	хочу сказать	1	1
49	все то	1	1
50	то я	1	1
51	же две	1	1
52	оно с	1	1
53	говоря о	1	1
54	а только	1	1
55	и положения	1	1
56	на одном	1	1
57	далеко не	1	1
58	с головой	1	1
59	и мало	1	1
