N	3gram	Tiupa_Vved_1	KulturaY
1	в том что	3	10
2	можно было бы	2	9
3	с другой стороны	1	7
4	по крайней мере	1	6
5	в этом смысле	1	5
6	само по себе	1	5
7	тем не менее	3	5
8	во всяком случае	1	5
9	не может быть	3	4
10	в зависимости от	1	4
11	не только в	2	4
12	большей или меньшей	1	3
13	в то же	4	3
14	в этом отношении	4	3
15	в связи с	1	3
16	то же время	3	3
17	на самом деле	3	2
18	можно сказать что	1	2
19	в этом случае	1	2
20	на то что	1	2
21	в отличие от	2	2
22	и в самом	1	2
23	в конечном счете	1	2
24	может быть только	1	2
25	в соответствии с	6	2
26	в свою очередь	4	2
27	о том что	4	1
28	зависит не только	1	1
29	с одной стороны	5	1
30	в самом тексте	1	1
31	на этом пути	1	1
32	что иное как	1	1
33	как и в	2	1
34	не в том	1	1
35	хотя и не	1	1
36	мы видели в	1	1
37	в противном случае	1	1
38	к тому же	4	1
39	в этом последнем	1	1
40	на жизнь в	1	1
41	мере в какой	2	1
42	и прежде всего	1	1
43	об этом в	1	1
44	том или ином	1	1
45	например с помощью	1	1
46	а не с	1	1
47	состоит в том	2	1
48	языком в качестве	1	1
49	в том или	1	1
50	но только в	1	1
51	потому что я	1	1
52	что к этому	1	1
53	по природе своей	1	1
54	в настоящее время	1	1
55	не что иное	1	1
56	речь идет о	1	1
57	вместо того чтобы	1	1
58	вследствие того что	1	1
59	в значительной степени	1	1
60	той мере в	2	1
61	не было бы	1	1
62	едва ли не	2	1
63	может быть не	3	1
64	как раз не	1	1
65	как мы видели	2	1
66	и если мы	1	1
67	то что мы	1	1
68	сами по себе	1	1
69	в том чтобы	2	1
70	но это не	1	1
71	не только от	1	1
72	к тому чтобы	1	1
73	потому что она	1	1
74	в результате ли	1	1
75	в той мере	2	1
76	в данном случае	6	1
