N	3gram	Propp_Isto_3	Formalny
1	с точки зрения	1	14
2	не может быть	1	14
3	на самом деле	1	12
4	во всяком случае	2	6
5	и т д	15	6
6	с другой стороны	7	5
7	подобно тому как	1	4
8	в большинстве случаев	1	4
9	в связи с	3	4
10	в данном случае	3	4
11	в том что	5	3
12	по отношению к	2	3
13	иначе обстоит дело	1	3
14	обстоит дело с	1	3
15	вместе с тем	1	3
16	друг друга в	1	2
17	равно как и	1	2
18	же как мы	1	2
19	не только не	2	2
20	мы видели что	3	2
21	на самом же	1	2
22	т е с	1	2
23	сами по себе	1	2
24	только то что	1	2
25	уже знаем что	1	2
26	смысле этого слова	1	2
27	как мы видели	5	2
28	самом же деле	1	2
29	мы уже знаем	2	2
30	тем не менее	5	2
31	о том что	2	1
32	с одной стороны	2	1
33	явно не имеют	1	1
34	с самого начала	1	1
35	но там где	1	1
36	и столь же	1	1
37	так же как	1	1
38	она находит в	1	1
39	так или иначе	1	1
40	для нас важно	1	1
41	одной и той	1	1
42	в огромном большинстве	1	1
43	друг друга и	1	1
44	нам важно установить	2	1
45	но и здесь	1	1
46	из того что	1	1
47	как и в	2	1
48	и в том	1	1
49	можно сказать что	1	1
50	до сих пор	5	1
51	в таком случае	1	1
52	этом случае в	1	1
53	у нас в	1	1
54	но в таком	1	1
55	что в этом	1	1
56	они находятся в	1	1
57	в этом случае	5	1
58	с тем что	1	1
59	и в других	2	1
60	т е не	1	1
61	этой точки зрения	1	1
62	можно было бы	1	1
63	хотя и не	1	1
64	как это происходит	1	1
65	только в связи	2	1
66	на то что	1	1
67	так что она	2	1
68	подчеркивают что они	1	1
69	и той же	1	1
70	одной из них	1	1
71	не только в	1	1
72	в том числе	1	1
73	связаны между собой	1	1
74	имеет еще одну	1	1
75	мы имеем в	2	1
76	с этой точки	1	1
77	в нем происходит	1	1
78	в этих случаях	7	1
79	она не может	1	1
80	и вместе с	1	1
81	но все же	2	1
82	друг с другом	1	1
83	огромном большинстве случаев	1	1
84	один из моментов	1	1
85	что они находятся	1	1
86	что там где	1	1
87	что в данном	1	1
88	то мы можем	1	1
89	в такой же	1	1
90	не только на	1	1
91	это происходит в	1	1
92	другой стороны и	3	1
93	в качестве мотивировки	1	1
94	в жизни и	1	1
95	можно утверждать что	2	1
