1	не может быть	4	7
2	можно сказать что	1	5
3	в том что	2	4
4	до сих пор	2	3
5	то ни было	3	3
6	бы то ни	3	3
7	в художественном произведении	2	3
8	то же самое	2	2
9	с одной стороны	1	2
10	в данном случае	1	2
11	с другой стороны	3	2
12	имеем в виду	1	2
13	в этом отношении	2	1
14	и в частности	2	1
15	теоретическая и историческая	1	1
16	в противном случае	2	1
17	более или менее	1	1
18	в то же	3	1
19	таком понимании форма	1	1
20	а между тем	2	1
21	в этом смысле	2	1
22	равно как и	1	1
23	или иных приемов	1	1
24	то же время	3	1
25	в самом деле	2	1
26	же время не	1	1
27	но это же	1	1
28	и прежде всего	1	1
29	приходится признать что	1	1
30	в конечном счете	4	1
31	но прежде всего	1	1
32	и независимо от	1	1
33	и с другой	1	1
34	и историческая поэтика	1	1
35	при таком понимании	1	1
36	к которой принадлежит	1	1
37	но в то	1	1
38	все же не	1	1
39	для него не	1	1
40	тех или иных	2	1
41	по крайней мере	2	1
42	сам по себе	1	1
43	и эта позиция	1	1
44	мы имеем в	1	1
